序号,起始日期,截止日期,总发行量(亿元),发行只数,总偿还量(亿元),净融资额(亿元),到期偿还量(亿元),到期只数,提前兑付量(亿元),提前兑付只数,回售量(亿元),回售只数,赎回量(亿元),赎回只数,现金要约金额(亿元),现金要约只数
117,2025-04-24,2025-04-24,3610.0,8,1150.0,2460.0,1150.0,2,0,0,0,0,0,0,0,0
118,2025-04-23,2025-04-23,384.4,5,0.0,384.4,0.0,0,0,0,0,0,0,0,0,0
119,2025-04-22,2025-04-22,519.4,5,2195.9,-1676.5,2195.9,2,0,0,0,0,0,0,0,0
120,2025-04-21,2025-04-21,322.8,4,0.0,322.8,0.0,0,0,0,0,0,0,0,0,0
121,2025-04-20,2025-04-20,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
122,2025-04-19,2025-04-19,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
123,2025-04-18,2025-04-18,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
124,2025-04-17,2025-04-17,470.0,5,550.2,-80.2,550.2,1,0,0,0,0,0,0,0,0
125,2025-04-16,2025-04-16,1251.1,5,0.0,1251.1,0.0,0,0,0,0,0,0,0,0,0
126,2025-04-15,2025-04-15,355.0,4,0.0,355.0,0.0,0,0,0,0,0,0,0,0,0
127,2025-04-14,2025-04-14,3679.8,5,0.0,3679.8,0.0,0,0,0,0,0,0,0,0,0
128,2025-04-13,2025-04-13,0.0,0,1610.0,-1610.0,1610.0,1,0,0,0,0,0,0,0,0
129,2025-04-12,2025-04-12,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
130,2025-04-11,2025-04-11,2060.0,4,0.0,2060.0,0.0,0,0,0,0,0,0,0,0,0
131,2025-04-10,2025-04-10,1100.0,10,1800.0,-700.0,1800.0,4,0,0,0,0,0,0,0,0
132,2025-04-09,2025-04-09,1061.6,5,4196.1,-3134.5,4196.1,2,0,0,0,0,0,0,0,0
133,2025-04-08,2025-04-08,350.0,4,0.0,350.0,0.0,0,0,0,0,0,0,0,0,0
134,2025-04-07,2025-04-07,310.0,4,720.0,-410.0,720.0,1,0,0,0,0,0,0,0,0
135,2025-04-06,2025-04-06,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
136,2025-04-05,2025-04-05,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
137,2025-04-04,2025-04-04,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
138,2025-04-03,2025-04-03,450.0,5,450.9,-0.9,450.9,2,0,0,0,0,0,0,0,0
139,2025-04-02,2025-04-02,4071.4,6,1301.0,2770.4,1301.0,1,0,0,0,0,0,0,0,0
140,2025-04-01,2025-04-01,340.0,4,240.0,100.0,240.0,2,0,0,0,0,0,0,0,0
141,2025-03-31,2025-03-31,260.0,3,0.0,260.0,0.0,0,0,0,0,0,0,0,0,0
142,2025-03-30,2025-03-30,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
143,2025-03-29,2025-03-29,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
144,2025-03-28,2025-03-28,40.0,1,0.0,40.0,0.0,0,0,0,0,0,0,0,0,0
145,2025-03-27,2025-03-27,520.0,7,0.0,520.0,0.0,0,0,0,0,0,0,0,0,0
146,2025-03-26,2025-03-26,240.0,2,405.3,-165.3,405.3,1,0,0,0,0,0,0,0,0
147,2025-03-25,2025-03-25,350.0,5,0.0,350.0,0.0,0,0,0,0,0,0,0,0,0
148,2025-03-24,2025-03-24,3715.1,5,706.0,3009.1,706.0,2,0,0,0,0,0,0,0,0
149,2025-03-23,2025-03-23,0.0,0,700.0,-700.0,700.0,1,0,0,0,0,0,0,0,0
150,2025-03-22,2025-03-22,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
151,2025-03-21,2025-03-21,10.0,1,565.0,-555.0,565.0,1,0,0,0,0,0,0,0,0
152,2025-03-20,2025-03-20,550.0,7,402.0,148.0,402.0,1,0,0,0,0,0,0,0,0
153,2025-03-19,2025-03-19,2430.7,4,0.0,2430.7,0.0,0,0,0,0,0,0,0,0,0
154,2025-03-18,2025-03-18,290.0,4,0.0,290.0,0.0,0,0,0,0,0,0,0,0,0
155,2025-03-17,2025-03-17,210.0,4,1090.0,-880.0,1090.0,1,0,0,0,0,0,0,0,0
156,2025-03-16,2025-03-16,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
157,2025-03-15,2025-03-15,0.0,0,2595.7,-2595.7,2595.7,1,0,0,0,0,0,0,0,0
158,2025-03-14,2025-03-14,2084.5,4,0.0,2084.5,0.0,0,0,0,0,0,0,0,0,0
159,2025-03-13,2025-03-13,500.0,6,800.9,-300.9,800.9,2,0,0,0,0,0,0,0,0
160,2025-03-12,2025-03-12,1323.6,4,0.0,1323.6,0.0,0,0,0,0,0,0,0,0,0
161,2025-03-11,2025-03-11,310.0,4,0.0,310.0,0.0,0,0,0,0,0,0,0,0,0
162,2025-03-10,2025-03-10,490.0,5,802.2,-312.2,802.2,2,0,0,0,0,0,0,0,0
163,2025-03-09,2025-03-09,0.0,0,635.2,-635.2,635.2,1,0,0,0,0,0,0,0,0
164,2025-03-08,2025-03-08,0.0,0,1065.9,-1065.9,1065.9,1,0,0,0,0,0,0,0,0
