交易日期,机构分类,净买入交易量（亿元）
2023/01/20,基金,-0.1300000000000003
2023/01/20,银行,-39.52
2023/01/28,保险,0.0
2023/01/28,其他,0.0
2023/01/28,券商,-0.4
2023/01/28,基金,0.0
2023/01/28,银行,0.3899999999999998
2023/01/29,保险,0.0
2023/01/29,其他,-4.18
2023/01/29,券商,-0.89
2023/01/29,基金,0.0
2023/01/29,银行,5.08
2023/01/30,保险,-0.6300000000000003
2023/01/30,其他,-32.49
2023/01/30,券商,67.2
2023/01/30,基金,14.17
2023/01/30,银行,-48.24
2023/01/31,保险,2.25
2023/01/31,其他,3.799999999999999
2023/01/31,券商,0.5699999999999983
2023/01/31,基金,-0.9799999999999995
2023/01/31,银行,-5.640000000000003
2023/02/01,保险,-1.25
2023/02/01,其他,-23.45
2023/02/01,券商,-7.53
2023/02/01,基金,28.81
2023/02/01,银行,3.419999999999997
2023/02/02,保险,-3.22
2023/02/02,其他,-48.31
2023/02/02,券商,13.08
2023/02/02,基金,20.81
2023/02/02,银行,17.64
2023/02/03,保险,-2.170000000000001
2023/02/03,其他,-9.240000000000004
2023/02/03,券商,9.78
2023/02/03,基金,51.11
2023/02/03,银行,-49.51
2023/02/06,保险,-0.48
2023/02/06,其他,-9.250000000000002
2023/02/06,券商,-19.0
2023/02/06,基金,-18.43
2023/02/06,银行,47.16
2023/02/07,保险,7.52
2023/02/07,其他,12.69
2023/02/07,券商,93.85
2023/02/07,基金,48.43
2023/02/07,银行,-162.46
2023/02/08,保险,-6.63
2023/02/08,其他,23.22
2023/02/08,券商,88.30999999999999
2023/02/08,基金,-5.58
2023/02/08,银行,-99.32
2023/02/09,保险,-3.25
2023/02/09,其他,-2.05
2023/02/09,券商,79.75
2023/02/09,基金,-14.08
2023/02/09,银行,-60.35
2023/02/10,保险,-0.8200000000000001
2023/02/10,其他,17.4
2023/02/10,券商,8.439999999999998
2023/02/10,基金,29.78
2023/02/10,银行,-54.82
2023/02/13,保险,-2.56
2023/02/13,其他,-2.86
2023/02/13,券商,-35.3
2023/02/13,基金,25.93
2023/02/13,银行,14.78
2023/02/14,保险,-0.36
2023/02/14,其他,5.98
2023/02/14,券商,83.74
2023/02/14,基金,10.95
2023/02/14,银行,-100.31
2023/02/15,保险,6.45
2023/02/15,其他,-25.0
2023/02/15,券商,-12.54
2023/02/15,基金,56.18000000000001
2023/02/15,银行,-25.09
2023/02/16,保险,-1.77
2023/02/16,其他,-30.16
2023/02/16,券商,81.66
2023/02/16,基金,8.51
2023/02/16,银行,-58.25000000000001
2023/02/17,保险,0.47
2023/02/17,其他,6.279999999999999
2023/02/17,券商,36.27
2023/02/17,基金,28.16
2023/02/17,银行,-71.2
2023/02/20,保险,-5.19
2023/02/20,其他,-46.88
2023/02/20,券商,3.759999999999998
2023/02/20,基金,-17.09
2023/02/20,银行,65.39
2023/02/21,保险,-10.75
2023/02/21,其他,-29.76
2023/02/21,券商,-88.88999999999999
2023/02/21,基金,-17.4
2023/02/21,银行,146.8
2023/02/22,保险,1.61
2023/02/22,其他,-38.3
2023/02/22,券商,57.47
2023/02/22,基金,-8.669999999999998
2023/02/22,银行,-12.11
2023/02/23,保险,4.59
2023/02/23,其他,-18.79
2023/02/23,券商,15.71
2023/02/23,基金,-5.24
2023/02/23,银行,3.720000000000006
2023/02/24,保险,6.56
2023/02/24,其他,20.57
2023/02/24,券商,44.2
2023/02/24,基金,-11.03
2023/02/24,银行,-60.27999999999999
2023/02/27,保险,-3.38
2023/02/27,其他,-17.09
2023/02/27,券商,79.55
2023/02/27,基金,33.06
2023/02/27,银行,-92.14999999999999
2023/02/28,保险,9.64
2023/02/28,其他,-20.26
2023/02/28,券商,69.53999999999999
2023/02/28,基金,4.0
2023/02/28,银行,-62.92
2023/03/01,保险,4.630000000000001
2023/03/01,其他,-5.29
2023/03/01,券商,26.98
2023/03/01,基金,-15.68
2023/03/01,银行,-10.62
2023/03/02,保险,0.86
2023/03/02,其他,-1.550000000000002
2023/03/02,券商,-74.44
2023/03/02,基金,6.109999999999999
2023/03/02,银行,69.01999999999998
2023/03/03,保险,-10.41
2023/03/03,其他,11.66
2023/03/03,券商,-89.44
2023/03/03,基金,-17.66
2023/03/03,银行,105.85
2023/03/06,保险,-1.53
2023/03/06,其他,44.76
2023/03/06,券商,62.98
2023/03/06,基金,19.08
2023/03/06,银行,-125.31
2023/03/07,保险,0.8400000000000003
2023/03/07,其他,28.43
2023/03/07,券商,151.77
2023/03/07,基金,42.28
2023/03/07,银行,-223.32
2023/03/08,保险,-5.13
2023/03/08,其他,64.87
2023/03/08,券商,-22.13
2023/03/08,基金,60.73999999999999
2023/03/08,银行,-98.36
2023/03/09,保险,1.42
2023/03/09,其他,4.28
2023/03/09,券商,39.51000000000001
2023/03/09,基金,1.02
2023/03/09,银行,-46.24
2023/03/10,保险,-0.8099999999999998
2023/03/10,其他,40.7
2023/03/10,券商,43.64
2023/03/10,基金,52.7
2023/03/10,银行,-136.25
2023/03/13,保险,0.4399999999999999
2023/03/13,其他,25.92
2023/03/13,券商,-2.34
2023/03/13,基金,66.3
2023/03/13,银行,-90.31
2023/03/14,保险,-1.4
2023/03/14,其他,-15.92
2023/03/14,券商,-14.87
2023/03/14,基金,96.0
2023/03/14,银行,-63.77
2023/03/15,保险,-1.54
2023/03/15,其他,57.35
2023/03/15,券商,21.45
2023/03/15,基金,89.61
2023/03/15,银行,-166.85
2023/03/16,保险,-8.43
2023/03/16,其他,-1.619999999999999
2023/03/16,券商,88.73
2023/03/16,基金,85.36
2023/03/16,银行,-164.03
2023/03/17,保险,5.27
2023/03/17,其他,27.16
2023/03/17,券商,74.58
2023/03/17,基金,152.45
2023/03/17,银行,-259.48
2023/03/20,保险,1.37
2023/03/20,其他,25.47
2023/03/20,券商,-65.82
2023/03/20,基金,135.79
2023/03/20,银行,-96.81999999999998
2023/03/21,保险,-1.140000000000001
2023/03/21,其他,28.02
2023/03/21,券商,-48.39
2023/03/21,基金,66.28999999999999
2023/03/21,银行,-44.79
2023/03/22,保险,-0.1299999999999999
2023/03/22,其他,-36.24
2023/03/22,券商,-25.96
2023/03/22,基金,57.92
2023/03/22,银行,4.380000000000011
2023/03/23,保险,8.15
2023/03/23,其他,18.51
2023/03/23,券商,-67.05
2023/03/23,基金,107.36
2023/03/23,银行,-66.97999999999999
2023/03/24,保险,12.35
2023/03/24,其他,-2.81
2023/03/24,券商,-64.13
2023/03/24,基金,11.8
2023/03/24,银行,42.82999999999998
2023/03/27,保险,4.78
2023/03/27,其他,3.59
2023/03/27,券商,50.42
2023/03/27,基金,4.31
2023/03/27,银行,-63.09
2023/03/28,保险,22.11
2023/03/28,其他,-9.22
2023/03/28,券商,29.74
2023/03/28,基金,54.14
2023/03/28,银行,-96.75
2023/03/29,保险,45.94
2023/03/29,其他,18.12
2023/03/29,券商,-20.55
2023/03/29,基金,97.69
2023/03/29,银行,-141.21
2023/03/30,保险,67.18
2023/03/30,其他,-25.32
2023/03/30,券商,-11.14
2023/03/30,基金,7.82
2023/03/30,银行,-38.54000000000001
2023/03/31,保险,41.0
2023/03/31,其他,67.96
2023/03/31,券商,-73.91
2023/03/31,基金,26.1
2023/03/31,银行,-61.13
2023/04/03,保险,-102.52
2023/04/03,其他,4.61
2023/04/03,券商,-69.97
2023/04/03,基金,133.25
2023/04/03,银行,34.63
2023/04/04,保险,-3.76
2023/04/04,其他,-1.63
2023/04/04,券商,-36.74
2023/04/04,基金,23.86
2023/04/04,银行,18.24999999999999
2023/04/06,保险,0.6399999999999997
2023/04/06,其他,9.620000000000001
2023/04/06,券商,-9.98
2023/04/06,基金,78.96000000000001
2023/04/06,银行,-79.24999999999999
2023/04/07,保险,-13.72
2023/04/07,其他,-0.8200000000000003
2023/04/07,券商,54.23999999999999
2023/04/07,基金,47.67
2023/04/07,银行,-87.38000000000001
2023/04/10,保险,-15.96
2023/04/10,其他,64.45
2023/04/10,券商,104.91
2023/04/10,基金,55.56
2023/04/10,银行,-208.93
2023/04/11,保险,-7.699999999999999
2023/04/11,其他,17.22
2023/04/11,券商,75.78
2023/04/11,基金,46.79
2023/04/11,银行,-132.08
2023/04/12,保险,0.01999999999999957
2023/04/12,其他,9.93
2023/04/12,券商,87.12
2023/04/12,基金,150.97
2023/04/12,银行,-248.02
2023/04/13,保险,3.95
2023/04/13,其他,-0.9600000000000017
2023/04/13,券商,-52.92
2023/04/13,基金,68.47
2023/04/13,银行,-18.55
2023/04/14,保险,3.02
2023/04/14,其他,22.36
2023/04/14,券商,-6.67
2023/04/14,基金,-124.3
2023/04/14,银行,105.58
2023/04/17,保险,3.2
2023/04/17,其他,14.38
2023/04/17,券商,-61.57
2023/04/17,基金,-14.91
2023/04/17,银行,58.89999999999999
2023/04/18,保险,1.469999999999999
2023/04/18,其他,12.3
2023/04/18,券商,-7.510000000000005
2023/04/18,基金,18.7
2023/04/18,银行,-24.96
2023/04/19,保险,4.16
2023/04/19,其他,76.17999999999999
2023/04/19,券商,-4.880000000000003
2023/04/19,基金,50.02
2023/04/19,银行,-125.48
2023/04/20,保险,5.63
2023/04/20,其他,38.41
2023/04/20,券商,-80.02
2023/04/20,基金,46.05
2023/04/20,银行,-10.06
2023/04/21,保险,3.44
2023/04/21,其他,-23.34
2023/04/21,券商,-9.61
2023/04/21,基金,35.98
2023/04/21,银行,-6.449999999999999
2023/04/23,保险,0.0
2023/04/23,其他,0.5
2023/04/23,券商,-2.775557561562891e-17
2023/04/23,基金,0.0
2023/04/23,银行,-0.5099999999999997
2023/04/24,保险,1.3
2023/04/24,其他,31.27
2023/04/24,券商,138.67
2023/04/24,基金,60.74
2023/04/24,银行,-231.97
2023/04/25,保险,5.44
2023/04/25,其他,25.87
2023/04/25,券商,-60.60999999999999
2023/04/25,基金,116.09
2023/04/25,银行,-86.78999999999999
2023/04/26,保险,-3.470000000000001
2023/04/26,其他,4.420000000000001
2023/04/26,券商,86.22
2023/04/26,基金,25.52
2023/04/26,银行,-112.69
2023/04/27,保险,28.25
2023/04/27,其他,70.39
2023/04/27,券商,154.22
2023/04/27,基金,155.69
2023/04/27,银行,-408.55
2023/04/28,保险,22.06
2023/04/28,其他,116.41
2023/04/28,券商,32.33
2023/04/28,基金,39.37
2023/04/28,银行,-210.17
2023/05/04,保险,1.55
2023/05/04,其他,61.04
2023/05/04,券商,17.51
2023/05/04,基金,78.42
2023/05/04,银行,-158.51
2023/05/05,保险,4.92
2023/05/05,其他,25.44
2023/05/05,券商,-1.680000000000001
2023/05/05,基金,36.54
2023/05/05,银行,-65.20000000000002
2023/05/06,保险,1.93
2023/05/06,其他,-2.64
2023/05/06,券商,1.32
2023/05/06,基金,0.0
2023/05/06,银行,-0.6199999999999988
2023/05/08,保险,-5.24
2023/05/08,其他,-5.919999999999999
2023/05/08,券商,39.97
2023/05/08,基金,83.81
2023/05/08,银行,-112.6
2023/05/09,保险,-9.030000000000001
2023/05/09,其他,20.00999999999999
2023/05/09,券商,22.08
2023/05/09,基金,-71.09
2023/05/09,银行,38.02999999999999
2023/05/10,保险,-8.33
2023/05/10,其他,71.06
2023/05/10,券商,77.46
2023/05/10,基金,12.69
2023/05/10,银行,-152.85
2023/05/11,保险,3.07
2023/05/11,其他,3.579999999999999
2023/05/11,券商,47.56
2023/05/11,基金,157.36
2023/05/11,银行,-211.56
2023/05/12,保险,-24.39
2023/05/12,其他,5.450000000000003
2023/05/12,券商,-31.85
2023/05/12,基金,48.3
2023/05/12,银行,2.439999999999989
2023/05/15,保险,3.77
2023/05/15,其他,-19.13
2023/05/15,券商,49.29000000000001
2023/05/15,基金,-11.46
2023/05/15,银行,-22.50000000000001
2023/05/16,保险,1.17
2023/05/16,其他,-13.9
2023/05/16,券商,-55.19
2023/05/16,基金,-19.68
2023/05/16,银行,87.60000000000001
2023/05/17,保险,-1.48
2023/05/17,其他,19.25
2023/05/17,券商,1.51
2023/05/17,基金,5.620000000000001
2023/05/17,银行,-24.87
2023/05/18,保险,-19.52
2023/05/18,其他,-34.94
2023/05/18,券商,-35.83
2023/05/18,基金,-37.43
2023/05/18,银行,127.74
2023/05/19,保险,-0.1399999999999999
2023/05/19,其他,-24.47
2023/05/19,券商,83.47
2023/05/19,基金,36.34
2023/05/19,银行,-95.17999999999999
2023/05/22,保险,-1.86
2023/05/22,其他,5.290000000000001
2023/05/22,券商,59.2
2023/05/22,基金,71.7
2023/05/22,银行,-134.35
2023/05/23,保险,2.41
2023/05/23,其他,10.16
2023/05/23,券商,158.7
2023/05/23,基金,46.0
2023/05/23,银行,-217.3
2023/05/24,保险,4.76
2023/05/24,其他,33.34
2023/05/24,券商,-1.800000000000004
2023/05/24,基金,189.75
2023/05/24,银行,-226.07
2023/05/25,保险,1.04
2023/05/25,其他,-27.61
2023/05/25,券商,-18.1
2023/05/25,基金,-11.61
2023/05/25,银行,56.28999999999998
2023/05/26,保险,1.45
2023/05/26,其他,-30.2
2023/05/26,券商,29.45
2023/05/26,基金,-79.86
2023/05/26,银行,79.16999999999999
2023/05/29,保险,4.02
2023/05/29,其他,-24.35
2023/05/29,券商,100.57
2023/05/29,基金,-3.909999999999998
2023/05/29,银行,-76.32
2023/05/30,保险,3.33
2023/05/30,其他,53.19
2023/05/30,券商,30.31
2023/05/30,基金,-47.84
2023/05/30,银行,-38.97
2023/05/31,保险,3.58
2023/05/31,其他,55.57
2023/05/31,券商,5.079999999999998
2023/05/31,基金,24.68
2023/05/31,银行,-88.92999999999999
2023/06/01,保险,5.76
2023/06/01,其他,-31.15
2023/06/01,券商,84.56
2023/06/01,基金,69.53
2023/06/01,银行,-128.7
2023/06/02,保险,-5.890000000000001
2023/06/02,其他,18.31
2023/06/02,券商,-54.65
2023/06/02,基金,-7.809999999999999
2023/06/02,银行,50.02
2023/06/05,保险,4.9
2023/06/05,其他,-46.13999999999999
2023/06/05,券商,-76.44
2023/06/05,基金,-51.88
2023/06/05,银行,169.57
2023/06/06,保险,-5.81
2023/06/06,其他,75.53999999999999
2023/06/06,券商,131.23
2023/06/06,基金,-14.71
2023/06/06,银行,-186.25
2023/06/07,保险,-7.459999999999999
2023/06/07,其他,82.03
2023/06/07,券商,98.21
2023/06/07,基金,76.47
2023/06/07,银行,-249.28
2023/06/08,保险,6.390000000000001
2023/06/08,其他,15.0
2023/06/08,券商,-18.96
2023/06/08,基金,72.57
2023/06/08,银行,-75.01
2023/06/09,保险,-4.76
2023/06/09,其他,-0.8999999999999972
2023/06/09,券商,162.61
2023/06/09,基金,22.16
2023/06/09,银行,-179.13
2023/06/12,保险,15.6
2023/06/12,其他,49.45
2023/06/12,券商,183.93
2023/06/12,基金,185.79
2023/06/12,银行,-434.77
2023/06/13,保险,13.73
2023/06/13,其他,118.58
2023/06/13,券商,40.31
2023/06/13,基金,61.07
2023/06/13,银行,-233.69
2023/06/14,保险,-15.02
2023/06/14,其他,35.26000000000001
2023/06/14,券商,50.95
2023/06/14,基金,90.1
2023/06/14,银行,-161.27
2023/06/15,保险,20.71
2023/06/15,其他,7.3
2023/06/15,券商,-118.87
2023/06/15,基金,-37.4
2023/06/15,银行,128.25
2023/06/16,保险,18.62
2023/06/16,其他,-17.11
2023/06/16,券商,-78.43
2023/06/16,基金,-138.82
2023/06/16,银行,215.74
2023/06/19,保险,18.43
2023/06/19,其他,-7.989999999999998
2023/06/19,券商,-105.7
2023/06/19,基金,-59.55
2023/06/19,银行,154.82
2023/06/20,保险,7.77
2023/06/20,其他,-32.41
2023/06/20,券商,-23.62
2023/06/20,基金,-110.37
2023/06/20,银行,158.64
2023/06/21,保险,7.130000000000001
2023/06/21,其他,13.45
2023/06/21,券商,-12.06
2023/06/21,基金,87.32
2023/06/21,银行,-95.83999999999999
2023/06/25,保险,0.2
2023/06/25,其他,0.6
2023/06/25,券商,0.0
2023/06/25,基金,1.02
2023/06/25,银行,-1.829999999999999
2023/06/26,保险,16.58
2023/06/26,其他,27.23
2023/06/26,券商,-114.53
2023/06/26,基金,36.05
2023/06/26,银行,34.66
2023/06/27,保险,34.47
2023/06/27,其他,3.57
2023/06/27,券商,-36.47
2023/06/27,基金,7.99
2023/06/27,银行,-9.530000000000005
2023/06/28,保险,30.91
2023/06/28,其他,-1.690000000000001
2023/06/28,券商,32.58
2023/06/28,基金,-2.959999999999999
2023/06/28,银行,-58.82
2023/06/29,保险,33.27
2023/06/29,其他,25.29
2023/06/29,券商,9.169999999999998
2023/06/29,基金,47.48999999999999
2023/06/29,银行,-115.19
2023/06/30,保险,16.15
2023/06/30,其他,28.0
2023/06/30,券商,20.76
2023/06/30,基金,44.08
2023/06/30,银行,-109.01
2023/07/03,保险,-57.97
2023/07/03,其他,29.9
2023/07/03,券商,-89.53999999999999
2023/07/03,基金,132.68
2023/07/03,银行,-15.09000000000001
2023/07/04,保险,-22.0
2023/07/04,其他,-42.12
2023/07/04,券商,-94.14
2023/07/04,基金,-34.65
2023/07/04,银行,192.92
2023/07/05,保险,-34.23
2023/07/05,其他,-2.52
2023/07/05,券商,-89.33
2023/07/05,基金,0.1300000000000008
2023/07/05,银行,125.96
2023/07/06,保险,4.23
2023/07/06,其他,18.98
2023/07/06,券商,-20.41
2023/07/06,基金,37.89
2023/07/06,银行,-40.66
2023/07/07,保险,0.76
2023/07/07,其他,1.249999999999999
2023/07/07,券商,-53.98
2023/07/07,基金,36.57
2023/07/07,银行,15.38
2023/07/10,保险,2.81
2023/07/10,其他,53.93
2023/07/10,券商,-49.52
2023/07/10,基金,39.1
2023/07/10,银行,-46.34
2023/07/11,保险,-3.59
2023/07/11,其他,12.55
2023/07/11,券商,45.82
2023/07/11,基金,60.33
2023/07/11,银行,-115.11
2023/07/12,保险,4.649999999999999
2023/07/12,其他,22.09
2023/07/12,券商,4.500000000000001
2023/07/12,基金,66.63
2023/07/12,银行,-97.87
2023/07/13,保险,-1.42
2023/07/13,其他,9.03
2023/07/13,券商,-64.78999999999999
2023/07/13,基金,-23.01
2023/07/13,银行,80.16999999999999
2023/07/14,保险,8.149999999999999
2023/07/14,其他,-11.65
2023/07/14,券商,-64.06
2023/07/14,基金,-16.08
2023/07/14,银行,83.64999999999996
2023/07/17,保险,14.19
2023/07/17,其他,-16.24
2023/07/17,券商,164.85
2023/07/17,基金,-0.9699999999999989
2023/07/17,银行,-161.85
2023/07/18,保险,2.72
2023/07/18,其他,5.99
2023/07/18,券商,81.41
2023/07/18,基金,76.28999999999999
2023/07/18,银行,-166.41
2023/07/19,保险,1.2
2023/07/19,其他,23.56
2023/07/19,券商,-6.260000000000002
2023/07/19,基金,121.65
2023/07/19,银行,-140.16
2023/07/20,保险,4.73
2023/07/20,其他,8.82
2023/07/20,券商,-61.72
2023/07/20,基金,4.439999999999998
2023/07/20,银行,43.74999999999999
2023/07/21,保险,-3.11
2023/07/21,其他,2.059999999999999
2023/07/21,券商,83.09
2023/07/21,基金,45.59
2023/07/21,银行,-127.6
2023/07/24,保险,4.450000000000001
2023/07/24,其他,13.23
2023/07/24,券商,-19.07
2023/07/24,基金,144.21
2023/07/24,银行,-142.84
2023/07/25,保险,0.4900000000000002
2023/07/25,其他,15.07
2023/07/25,券商,-168.23
2023/07/25,基金,-10.94
2023/07/25,银行,163.63
2023/07/26,保险,-0.4399999999999995
2023/07/26,其他,-117.72
2023/07/26,券商,-193.83
2023/07/26,基金,-263.38
2023/07/26,银行,575.33
2023/07/27,保险,-2.5
2023/07/27,其他,28.87
2023/07/27,券商,-4.68
2023/07/27,基金,42.09
2023/07/27,银行,-63.79
2023/07/28,保险,-3.43
2023/07/28,其他,6.210000000000001
2023/07/28,券商,-61.15
2023/07/28,基金,-30.36
2023/07/28,银行,88.75
2023/07/31,保险,-11.88
2023/07/31,其他,-55.52
2023/07/31,券商,-14.59
2023/07/31,基金,-134.73
2023/07/31,银行,216.73
2023/08/01,保险,3.12
2023/08/01,其他,5.82
2023/08/01,券商,-132.78
2023/08/01,基金,-65.05000000000001
2023/08/01,银行,188.86
2023/08/02,保险,3.63
2023/08/02,其他,15.68
2023/08/02,券商,-28.49
2023/08/02,基金,-34.61
2023/08/02,银行,43.78000000000001
2023/08/03,保险,-9.2
2023/08/03,其他,16.07
2023/08/03,券商,20.56
2023/08/03,基金,25.21
2023/08/03,银行,-52.66
2023/08/04,保险,-2.61
2023/08/04,其他,32.15
2023/08/04,券商,6.890000000000001
2023/08/04,基金,-15.41
2023/08/04,银行,-21.02
2023/08/07,保险,-6.35
2023/08/07,其他,27.03
2023/08/07,券商,23.79
2023/08/07,基金,35.02
2023/08/07,银行,-79.49000000000001
2023/08/08,保险,-4.16
2023/08/08,其他,45.97000000000001
2023/08/08,券商,11.91
2023/08/08,基金,52.6
2023/08/08,银行,-106.36
2023/08/09,保险,-3.06
2023/08/09,其他,51.9
2023/08/09,券商,31.02
2023/08/09,基金,10.01
2023/08/09,银行,-89.88999999999999
2023/08/10,保险,-6.42
2023/08/10,其他,-13.36
2023/08/10,券商,17.0
2023/08/10,基金,-15.05
2023/08/10,银行,17.8
2023/08/11,保险,-4.21
2023/08/11,其他,-12.24
2023/08/11,券商,107.44
2023/08/11,基金,24.02
2023/08/11,银行,-115.02
2023/08/14,保险,8.549999999999999
2023/08/14,其他,63.17
2023/08/14,券商,55.81
2023/08/14,基金,145.36
2023/08/14,银行,-272.88
2023/08/15,保险,1.47
2023/08/15,其他,112.55
2023/08/15,券商,33.95
2023/08/15,基金,69.19
2023/08/15,银行,-217.16
2023/08/16,保险,18.76
2023/08/16,其他,77.77
2023/08/16,券商,77.45
2023/08/16,基金,254.73
2023/08/16,银行,-428.7
2023/08/17,保险,2.08
2023/08/17,其他,33.32
2023/08/17,券商,-30.12
2023/08/17,基金,39.79000000000001
2023/08/17,银行,-45.06
2023/08/18,保险,0.2899999999999996
2023/08/18,其他,8.780000000000001
2023/08/18,券商,-33.81
2023/08/18,基金,-8.45
2023/08/18,银行,33.18000000000001
2023/08/21,保险,-5.08
2023/08/21,其他,32.78
2023/08/21,券商,131.45
2023/08/21,基金,117.68
2023/08/21,银行,-276.84
2023/08/22,保险,5.71
2023/08/22,其他,69.00999999999999
2023/08/22,券商,11.46
2023/08/22,基金,136.17
2023/08/22,银行,-222.33
2023/08/23,保险,2.78
2023/08/23,其他,10.56
2023/08/23,券商,-26.04
2023/08/23,基金,-24.35
2023/08/23,银行,37.06
2023/08/24,保险,17.89
2023/08/24,其他,-16.38
2023/08/24,券商,32.04
2023/08/24,基金,23.14
2023/08/24,银行,-56.64999999999999
2023/08/25,保险,0.3199999999999994
2023/08/25,其他,11.18
2023/08/25,券商,-13.6
2023/08/25,基金,-53.3
2023/08/25,银行,55.37
2023/08/28,保险,-4.11
2023/08/28,其他,-14.61
2023/08/28,券商,-95.6
2023/08/28,基金,-39.33000000000001
2023/08/28,银行,153.65
2023/08/29,保险,11.95
2023/08/29,其他,69.64
2023/08/29,券商,72.98
2023/08/29,基金,115.74
2023/08/29,银行,-270.32
2023/08/30,保险,7.42
2023/08/30,其他,23.89
2023/08/30,券商,-3.509999999999998
2023/08/30,基金,-58.92
2023/08/30,银行,31.13999999999999
2023/08/31,保险,4.09
2023/08/31,其他,42.95
2023/08/31,券商,-39.83
2023/08/31,基金,5.53
2023/08/31,银行,-12.72
2023/09/01,保险,5.41
2023/09/01,其他,-11.73
2023/09/01,券商,-154.53
2023/09/01,基金,-65.38
2023/09/01,银行,226.22
2023/09/04,保险,0.5
2023/09/04,其他,3.719999999999997
2023/09/04,券商,-86.34
2023/09/04,基金,-194.06
2023/09/04,银行,276.15
2023/09/05,保险,-8.9
2023/09/05,其他,-9.71
2023/09/05,券商,-35.44
2023/09/05,基金,-88.18
2023/09/05,银行,142.22
2023/09/06,保险,2.3
2023/09/06,其他,49.58
2023/09/06,券商,-118.55
2023/09/06,基金,-71.93
2023/09/06,银行,138.58
2023/09/07,保险,-22.16
2023/09/07,其他,-24.81
2023/09/07,券商,-76.77
2023/09/07,基金,-56.85
2023/09/07,银行,180.56
2023/09/08,保险,13.27
2023/09/08,其他,-26.8
2023/09/08,券商,26.87
2023/09/08,基金,-93.14
2023/09/08,银行,79.82000000000001
2023/09/11,保险,10.34
2023/09/11,其他,72.61
2023/09/11,券商,-14.45
2023/09/11,基金,6.82
2023/09/11,银行,-75.31
2023/09/12,保险,6.74
2023/09/12,其他,21.49
2023/09/12,券商,-29.52
2023/09/12,基金,48.94
2023/09/12,银行,-47.64999999999999
2023/09/13,保险,-4.19
2023/09/13,其他,2.6
2023/09/13,券商,23.56
2023/09/13,基金,62.96
2023/09/13,银行,-84.94
2023/09/14,保险,-11.54
2023/09/14,其他,11.8
2023/09/14,券商,122.56
2023/09/14,基金,87.17
2023/09/14,银行,-209.97
2023/09/15,保险,-15.05
2023/09/15,其他,22.49
2023/09/15,券商,-88.04
2023/09/15,基金,93.27
2023/09/15,银行,-12.68
2023/09/18,保险,-6.609999999999999
2023/09/18,其他,-36.05
2023/09/18,券商,-67.19
2023/09/18,基金,-22.51
2023/09/18,银行,132.39
2023/09/19,保险,6.17
2023/09/19,其他,7.41
2023/09/19,券商,-79.9
2023/09/19,基金,11.1
2023/09/19,银行,55.23
2023/09/20,保险,-1.2
2023/09/20,其他,-10.63
2023/09/20,券商,18.51
2023/09/20,基金,-56.75
2023/09/20,银行,50.06
2023/09/21,保险,18.91
2023/09/21,其他,-13.04
2023/09/21,券商,69.80999999999999
2023/09/21,基金,-26.54
2023/09/21,银行,-49.14
2023/09/22,保险,3.68
2023/09/22,其他,7.510000000000002
2023/09/22,券商,-72.21000000000001
2023/09/22,基金,58.43999999999999
2023/09/22,银行,2.599999999999999
2023/09/25,保险,51.11
2023/09/25,其他,-28.9
2023/09/25,券商,117.84
