feature_name,source_file,source_table,role,stage,frequency,fill_method,used_in_dataset,notes
date,generated,date index (from target date frame),component_feature,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
保险,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
其他,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
券商,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
基金,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
理财子,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
银行,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__保险__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__其他__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__券商__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__基金__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__理财子__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__银行__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
gov_net_financing,data/高频宏观指标_day.xlsx,direct_factors.csv,direct_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
lpr_1y,/workspaces/Bond-Yield-Prediction/data/lpr.xlsx,direct_factors.csv,direct_factor,stage1_demand,monthly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
lpr_5y,/workspaces/Bond-Yield-Prediction/data/lpr.xlsx,direct_factors.csv,direct_factor,stage1_demand,monthly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
net_financing_total,data/高频宏观指标_day.xlsx,direct_factors.csv,direct_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
omo_inject,/workspaces/Bond-Yield-Prediction/data/现券成交分机构统计20230701 - 20230930.xlsx,liquidity_features.csv / direct_policy_factors.csv,direct_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
omo_net,/workspaces/Bond-Yield-Prediction/data/现券成交分机构统计20230701 - 20230930.xlsx,liquidity_features.csv / direct_policy_factors.csv,direct_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
omo_withdraw,/workspaces/Bond-Yield-Prediction/data/现券成交分机构统计20230701 - 20230930.xlsx,liquidity_features.csv / direct_policy_factors.csv,direct_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__净融资额(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__到期偿还量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__到期只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__发行只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__回售只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__回售量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__总偿还量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__总发行量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__提前兑付只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__提前兑付量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__现金要约只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__现金要约金额(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__赎回只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_day__赎回量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage1_demand,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__上海出口集装箱运价指数:综合指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:100大中城市:成交土地占地面积:当周值,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:30大中城市:成交面积:商品房,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:平均批发价:猪肉,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:开工率:汽车轮胎(全钢胎),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:开工率:汽车轮胎(半钢胎),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:开工率:石油沥青装置,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:日均产量:粗钢,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
"macro_week__中国:日均销量(当周,厂家零售):乘用车",/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:水泥价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:生产资料价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国:票房收入:电影,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国出口集装箱运价指数:综合指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__中国食用农产品价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__义乌中国小商品指数:总价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__唐山:高炉开工率,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__期货结算价(连续):布伦特原油,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
macro_week__波罗的海货运指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage1_demand,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
date,generated,date index (from target date frame),component_feature,stage1_liquidity,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/liquidity_component_dataset_full.csv,Stage-1 component dataset for liquidity forecasting (分量预测：资金面).
dr001,/workspaces/Bond-Yield-Prediction/data/现券成交分机构统计20230701 - 20230930.xlsx,liquidity_features.csv / direct_policy_factors.csv,component_feature,stage1_liquidity,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/stage1/liquidity_component_dataset_full.csv,Stage-1 component dataset for liquidity forecasting (分量预测：资金面).
