date,yield_10y,stage1_pred__liquidity__dr001__t+20,stage1_pred__liquidity__dr007__t+20,stage1_pred__liquidity__r001__t+20,stage1_pred__liquidity__r007__t+20,stage1_pred__liquidity__fr007__t+20,stage1_pred__liquidity__gc001__t+20,stage1_pred__liquidity__gc007__t+20,stage1_pred__liquidity__spread_r007_dr007__t+20,stage1_pred__liquidity__spread_gc007_r007__t+20,stage1_pred__liquidity__spread_fr007_r007__t+20,stage1_pred__demand__银行__t+20,stage1_pred__demand__基金__t+20,stage1_pred__demand__保险__t+20,stage1_pred__demand__券商__t+20,stage1_pred__demand__理财子__t+20,stage1_pred__demand__其他__t+20,omo_net,omo_inject,omo_withdraw,lpr_1y,lpr_5y,feat__yield_10y__lag1,feat__yield_10y__lag5,label__yield_10y__t+20
2020-09-23,3.089,2.264276,2.4790726,2.5521448,2.873671,2.9573636,2.0944784,2.3284853,0.39649388,-0.4888765,0.069700025,0.29691204,-0.7706807,0.20099333,-1.1613901,-0.0052542547,-0.080213346,-200.0,900.0,1100.0,3.85,4.65,3.0863,3.126,3.1609
2020-09-24,3.084,2.3875756,2.508686,2.6095545,3.1300018,2.9293492,1.9642035,2.2917843,0.63102394,-0.8255598,-0.19264957,0.8287015,-0.2640202,0.026891626,-0.0029321173,-0.11806439,0.14440517,200.0,200.0,0.0,3.85,4.65,3.089,3.1334,3.181
2020-09-25,3.1295,2.1416974,2.4646769,2.2217295,3.144081,3.0347779,2.1461523,2.3679562,0.6847564,-0.6690602,-0.069666125,-0.098797366,0.620804,-0.004856817,-0.44571266,-0.0038243984,0.15035653,-650.0,400.0,1050.0,3.85,4.65,3.084,3.1162,3.186
2020-09-27,3.1324,2.3221827,2.6023445,2.914645,3.1494973,3.2945747,2.2073913,2.3709257,0.57756436,-0.79411995,0.07864477,-1.8160639,0.83567405,0.19460855,4.3230805,-0.098621316,-0.35707086,-950.0,1050.0,2000.0,3.85,4.65,3.1295,3.0999,3.181
2020-09-28,3.1092,2.2793224,2.4602184,2.4120197,3.3959277,2.6460118,2.0872073,2.302538,0.9000909,-1.1122016,-0.7454187,-0.14322335,-0.029636461,-0.039949406,-0.42573532,0.064353004,0.18868694,-500.0,500.0,1000.0,3.85,4.65,3.1324,3.0863,3.1785
2020-09-29,3.1292,1.8491962,2.1716185,1.8990632,2.7766051,2.368391,2.0682743,2.2854252,0.5930689,-0.52108103,-0.41493094,2.2309628,3.8045826,-1.763172,5.014927,-0.33353266,-0.587744,-5600.0,0.0,5600.0,3.85,4.65,3.1092,3.089,3.1762
2020-09-30,3.1482,1.420789,2.0562494,1.555542,2.464936,2.2651956,1.939484,2.2089875,0.42157674,-0.26302135,-0.23224895,2.4135513,-1.513725,0.42409936,-1.304913,-0.26592267,0.21321273,0.0,0.0,0.0,3.85,4.65,3.1292,3.084,3.1687
2020-10-09,3.1873,1.4857128,2.0827181,1.5317712,2.265726,2.1927319,2.1827147,2.2864344,0.16484572,0.11277778,-0.07837377,-1.3418432,0.28501672,-1.0292704,-0.6144786,-0.0033928468,0.93873394,-600.0,0.0,600.0,3.85,4.65,3.1482,3.1295,3.1912
2020-10-10,3.1898,1.8325247,2.2490675,1.9216084,2.242346,2.3127608,2.2767544,2.4890776,0.005526692,0.27994046,0.08508486,8.02065,-3.0802479,0.2943182,-0.5318882,-0.25346208,-1.3532223,-1000.0,0.0,1000.0,3.85,4.65,3.1873,3.1324,3.2063
2020-10-12,3.1861,2.0757933,2.2425237,2.191091,2.3225896,2.331196,2.4618022,2.5533054,0.08730819,0.23143789,-0.024241928,0.28716737,-0.31241548,-0.50205225,-0.9383346,-0.069954395,0.7108021,-500.0,0.0,500.0,3.85,4.65,3.1898,3.1092,3.2363
